Farbe,Anzahl
"(122, 111, 66)",2
"(122, 111, 79)",108
"(122, 111, 81)",354
"(122, 111, 83)",593
"(122, 111, 89)",237035
"(122, 111, 91)",293210
"(122, 111, 93)",103158
"(122, 111, 105)",155278
"(122, 111, 107)",65566
"(122, 111, 109)",20349
"(122, 111, 115)",1653
"(122, 111, 117)",818
"(122, 111, 119)",371
"(122, 111, 125)",265
"(122, 111, 127)",28
"(122, 111, 128)",22
"(122, 112, 59)",1
"(122, 112, 61)",2
"(122, 112, 63)",3
"(122, 112, 76)",32
"(122, 112, 77)",26
"(122, 112, 85)",8432
"(122, 112, 87)",33514
"(122, 112, 100)",1688440
"(122, 112, 102)",1392665
"(122, 112, 103)",565844
"(122, 112, 110)",165251
"(122, 112, 111)",46128
"(122, 112, 113)",6493
"(122, 112, 120)",1102
"(122, 112, 121)",2061
"(122, 112, 123)",5517
"(122, 112, 136)",6
"(122, 113, 70)",17
"(122, 113, 72)",11
"(122, 113, 74)",11
"(122, 113, 80)",759
"(122, 113, 82)",2959
"(122, 113, 84)",3311
"(122, 113, 96)",117343
"(122, 113, 98)",374024
"(122, 113, 104)",1071046
"(122, 113, 106)",551080
"(122, 113, 108)",380626
"(122, 113, 114)",73038
"(122, 113, 116)",12959
"(122, 113, 118)",18732
"(122, 113, 130)",23
"(122, 113, 132)",17
"(122, 113, 134)",6
"(122, 114, 65)",5
"(122, 114, 67)",2
"(122, 114, 68)",5
"(122, 114, 75)",49
"(122, 114, 77)",239
"(122, 114, 78)",221
"(122, 114, 91)",487588
"(122, 114, 93)",895666
"(122, 114, 95)",477934
"(122, 114, 101)",325563
"(122, 114, 103)",1055929
"(122, 114, 111)",588713
"(122, 114, 112)",675755
"(122, 114, 125)",258
"(122, 114, 127)",1356
"(122, 114, 129)",67
"(122, 114, 135)",8
"(122, 114, 137)",2
"(122, 114, 138)",2
"(122, 115, 60)",6
"(122, 115, 61)",2
"(122, 115, 63)",3
"(122, 115, 69)",11
"(122, 115, 71)",7
"(122, 115, 73)",17
"(122, 115, 86)",8985
"(122, 115, 87)",25727
"(122, 115, 89)",130653
"(122, 115, 96)",115139
"(122, 115, 97)",212304
"(122, 115, 99)",485862
"(122, 115, 105)",907484
"(122, 115, 107)",1513917
"(122, 115, 109)",1117486
"(122, 115, 122)",1929
"(122, 115, 123)",580
"(122, 115, 131)",39
"(122, 115, 133)",19
"(122, 115, 146)",1
"(122, 116, 58)",2
"(122, 116, 64)",9
"(122, 116, 66)",8
"(122, 116, 68)",3
"(122, 116, 80)",960
"(122, 116, 82)",2624
"(122, 116, 84)",9037
"(122, 116, 90)",55276
"(122, 116, 92)",255519
"(122, 116, 94)",568245
"(122, 116, 100)",1099570
"(122, 116, 102)",1530559
"(122, 116, 104)",972503
"(122, 116, 116)",197571
"(122, 116, 118)",32408
"(122, 116, 120)",2929
"(122, 116, 126)",759
"(122, 116, 128)",380
"(122, 116, 130)",112
"(122, 116, 144)",1
"(122, 117, 61)",1
"(122, 117, 62)",4
"(122, 117, 75)",38
"(122, 117, 77)",157
"(122, 117, 79)",616
"(122, 117, 85)",9507
"(122, 117, 87)",24085
"(122, 117, 88)",44358
"(122, 117, 95)",409849
"(122, 117, 97)",481710
"(122, 117, 98)",434540
"(122, 117, 111)",1180213
"(122, 117, 113)",1418874
"(122, 117, 114)",222098
"(122, 117, 121)",25877
"(122, 117, 123)",2923
"(122, 117, 124)",1248
"(122, 117, 137)",20
"(122, 117, 139)",4
"(122, 117, 140)",2
"(122, 118, 70)",12
"(122, 118, 71)",16
"(122, 118, 73)",22
"(122, 118, 80)",913
"(122, 118, 81)",3337
"(122, 118, 83)",7452
"(122, 118, 89)",149249
"(122, 118, 91)",373381
"(122, 118, 93)",486190
"(122, 118, 106)",213465
"(122, 118, 107)",275395
"(122, 118, 109)",181890
"(122, 118, 115)",1140893
"(122, 118, 117)",340703
"(122, 118, 119)",54955
"(122, 118, 132)",195
"(122, 118, 133)",82
"(122, 118, 135)",31
"(122, 118, 141)",4
"(122, 118, 143)",1
"(122, 118, 145)",2
"(122, 119, 64)",1
"(122, 119, 66)",3
"(122, 119, 68)",8
"(122, 119, 74)",43
"(122, 119, 76)",143
"(122, 119, 78)",379
"(122, 119, 84)",27834
"(122, 119, 86)",52284
"(122, 119, 88)",92163
"(122, 119, 100)",202587
"(122, 119, 102)",191914
"(122, 119, 104)",80918
"(122, 119, 110)",230224
"(122, 119, 112)",829289
"(122, 119, 114)",1759497
"(122, 119, 126)",5617
"(122, 119, 128)",1616
"(122, 119, 130)",513
"(122, 119, 136)",56
"(122, 119, 138)",16
"(122, 119, 140)",7
"(122, 120, 69)",3
"(122, 120, 71)",4
"(122, 120, 72)",9
"(122, 120, 79)",2121
"(122, 120, 81)",7996
"(122, 120, 82)",18113
"(122, 120, 95)",43843
"(122, 120, 97)",218473
"(122, 120, 99)",84198
"(122, 120, 105)",45469
"(122, 120, 107)",60253
"(122, 120, 108)",100394
"(122, 120, 121)",536114
"(122, 120, 123)",152084
"(122, 120, 125)",15334
"(122, 120, 131)",3568
"(122, 120, 133)",1073
"(122, 120, 134)",246
"(122, 120, 141)",17
"(122, 120, 142)",7
"(122, 120, 144)",2
"(122, 121, 67)",3
"(122, 121, 73)",23
"(122, 121, 75)",145
"(122, 121, 77)",424
"(122, 121, 90)",17012
"(122, 121, 91)",86927
"(122, 121, 93)",30601
"(122, 121, 100)",32186
"(122, 121, 101)",36712
"(122, 121, 103)",43094
"(122, 121, 116)",1234398
"(122, 121, 117)",5054757
"(122, 121, 119)",3713325
"(122, 121, 126)",58770
"(122, 121, 127)",38927
"(122, 121, 129)",13949
"(122, 121, 135)",974
"(122, 121, 137)",134
"(122, 121, 139)",36
"(122, 122, 68)",1
"(122, 122, 70)",6
"(122, 122, 72)",5
"(122, 122, 84)",4494
"(122, 122, 86)",11567
"(122, 122, 88)",8512
"(122, 122, 94)",19788
"(122, 122, 96)",26745
"(122, 122, 98)",33464
"(122, 122, 110)",37265
"(122, 122, 112)",94133
"(122, 122, 114)",318769
"(122, 122, 120)",1992551
"(122, 122, 122)",2583099
"(122, 122, 124)",185310
"(122, 122, 130)",109099
"(122, 122, 132)",32164
"(122, 122, 134)",11649
"(122, 122, 146)",7
"(122, 122, 148)",1
"(122, 123, 79)",419
"(122, 123, 81)",1312
"(122, 123, 83)",2036
"(122, 123, 89)",7605
"(122, 123, 91)",10617
"(122, 123, 92)",17333
"(122, 123, 105)",15563
"(122, 123, 107)",17086
"(122, 123, 109)",20227
"(122, 123, 115)",56370
"(122, 123, 117)",261889
"(122, 123, 118)",1286351
"(122, 123, 125)",232779
"(122, 123, 127)",112322
"(122, 123, 128)",289411
"(122, 123, 141)",67
"(122, 123, 143)",23
"(122, 123, 144)",11
"(122, 123, 151)",2
"(122, 124, 74)",5
"(122, 124, 75)",20
"(122, 124, 77)",102
"(122, 124, 84)",2630
"(122, 124, 85)",4091
"(122, 124, 87)",6398
"(122, 124, 100)",11068
"(122, 124, 102)",10616
"(122, 124, 103)",11948
"(122, 124, 110)",7541
"(122, 124, 111)",10621
"(122, 124, 113)",21210
"(122, 124, 119)",81769
"(122, 124, 121)",130275
"(122, 124, 123)",162447
"(122, 124, 136)",20250
"(122, 124, 137)",2302
"(122, 124, 139)",288
"(122, 124, 145)",16
"(122, 124, 147)",4
"(122, 124, 149)",3
"(122, 125, 72)",5
"(122, 125, 78)",62
"(122, 125, 80)",259
"(122, 125, 82)",1366
"(122, 125, 94)",6767
"(122, 125, 96)",8468
"(122, 125, 98)",10596
"(122, 125, 104)",10023
"(122, 125, 106)",9184
"(122, 125, 108)",7597
"(122, 125, 114)",2309
"(122, 125, 116)",9585
"(122, 125, 118)",28409
"(122, 125, 130)",72458
"(122, 125, 132)",439775
"(122, 125, 134)",204933
"(122, 125, 140)",667
"(122, 125, 142)",105
"(122, 125, 144)",36
"(122, 126, 75)",9
"(122, 126, 76)",19
"(122, 126, 89)",2306
"(122, 126, 91)",3153
"(122, 126, 93)",4857
"(122, 126, 99)",10871
"(122, 126, 101)",11015
"(122, 126, 103)",9861
"(122, 126, 109)",1639
"(122, 126, 111)",1448
"(122, 126, 112)",1546
"(122, 126, 125)",236642
"(122, 126, 127)",598508
"(122, 126, 129)",204676
"(122, 126, 135)",123539
"(122, 126, 137)",31386
"(122, 126, 138)",3920
"(122, 126, 151)",1
"(122, 126, 155)",1
"(122, 127, 69)",1
"(122, 127, 73)",4
"(122, 127, 86)",900
"(122, 127, 87)",1577
"(122, 127, 95)",5887
"(122, 127, 97)",7936
"(122, 127, 104)",525
"(122, 127, 105)",899
"(122, 127, 107)",1674
"(122, 127, 120)",4677
"(122, 127, 121)",14851
"(122, 127, 123)",33210
"(122, 127, 130)",17556
"(122, 127, 131)",46065
"(122, 127, 133)",164766
"(122, 127, 146)",23
"(122, 127, 147)",9
"(122, 127, 149)",5
"(122, 127, 156)",1
"(122, 128, 80)",46
"(122, 128, 82)",157
"(122, 128, 84)",443
"(122, 128, 90)",1191
"(122, 128, 92)",2121
"(122, 128, 94)",4030
"(122, 128, 100)",316
"(122, 128, 102)",338
"(122, 128, 114)",247
"(122, 128, 116)",449
"(122, 128, 118)",1480
"(122, 128, 124)",7086
"(122, 128, 126)",27156
"(122, 128, 128)",46845
"(122, 128, 140)",2162
"(122, 128, 142)",229
"(122, 128, 144)",45
"(122, 128, 150)",5
"(122, 128, 152)",1
"(122, 128, 154)",3
"(122, 129, 75)",7
"(122, 129, 77)",12
"(122, 129, 78)",16
"(122, 129, 85)",144
"(122, 129, 87)",263
"(122, 129, 88)",630
"(122, 129, 95)",63
"(122, 129, 96)",112
"(122, 129, 98)",186
"(122, 129, 111)",330
"(122, 129, 113)",303
"(122, 129, 121)",850
"(122, 129, 122)",2546
"(122, 129, 135)",7781
"(122, 129, 137)",238737
"(122, 129, 139)",28850
"(122, 129, 145)",56
"(122, 129, 147)",24
"(122, 129, 148)",12
"(122, 129, 155)",1
"(122, 129, 157)",1
"(122, 130, 73)",1
"(122, 130, 79)",4
"(122, 130, 81)",11
"(122, 130, 83)",44
"(122, 130, 89)",12
"(122, 130, 91)",31
"(122, 130, 93)",56
"(122, 130, 106)",118
"(122, 130, 107)",144
"(122, 130, 109)",353
"(122, 130, 115)",44
"(122, 130, 117)",97
"(122, 130, 119)",314
"(122, 130, 132)",2232
"(122, 130, 133)",2685
"(122, 130, 141)",12884
"(122, 130, 143)",532
"(122, 130, 149)",8
"(122, 130, 151)",7
"(122, 130, 153)",5
"(122, 131, 84)",3
"(122, 131, 86)",15
"(122, 131, 88)",13
"(122, 131, 100)",70
"(122, 131, 102)",76
"(122, 131, 104)",80
"(122, 131, 110)",86
"(122, 131, 112)",48
"(122, 131, 114)",53
"(122, 131, 126)",1547
"(122, 131, 128)",4166
"(122, 131, 130)",6046
"(122, 131, 136)",3821
"(122, 131, 138)",864705
"(122, 131, 140)",305969
"(122, 131, 146)",82
"(122, 131, 148)",19
"(122, 132, 95)",8
"(122, 132, 97)",12
"(122, 132, 98)",49
"(122, 132, 105)",24
"(122, 132, 107)",27
"(122, 132, 108)",43
"(122, 132, 121)",87
"(122, 132, 123)",171
"(122, 132, 124)",507
"(122, 132, 131)",1124
"(122, 132, 133)",422
"(122, 132, 134)",99
"(122, 132, 141)",206347
"(122, 132, 142)",14847
"(122, 132, 144)",663
"(122, 132, 157)",1
"(122, 133, 90)",2
"(122, 133, 93)",4
"(122, 133, 99)",35
"(122, 133, 101)",21
"(122, 133, 103)",29
"(122, 133, 116)",13
"(122, 133, 117)",1
"(122, 133, 119)",13
"(122, 133, 125)",84
"(122, 133, 127)",250
"(122, 133, 129)",810
"(122, 133, 135)",57
"(122, 133, 137)",3613
"(122, 133, 139)",157483
"(122, 133, 151)",8
"(122, 133, 153)",5
"(122, 133, 155)",2
"(122, 133, 161)",1
"(122, 134, 88)",2
"(122, 134, 94)",1
"(122, 134, 96)",6
"(122, 134, 98)",13
"(122, 134, 110)",9
"(122, 134, 112)",10
"(122, 134, 114)",9
"(122, 134, 120)",7
"(122, 134, 122)",14
"(122, 134, 124)",25
"(122, 134, 130)",104
"(122, 134, 132)",138
"(122, 134, 134)",64
"(122, 134, 146)",72
"(122, 134, 148)",8
"(122, 134, 150)",6
"(122, 134, 156)",4
"(122, 134, 158)",1
"(122, 135, 105)",5
"(122, 135, 107)",6
"(122, 135, 109)",10
"(122, 135, 115)",3
"(122, 135, 117)",5
"(122, 135, 118)",3
"(122, 135, 125)",5
"(122, 135, 126)",4
"(122, 135, 128)",9
"(122, 135, 141)",1485
"(122, 135, 143)",2192
"(122, 135, 144)",448
"(122, 135, 151)",5
"(122, 135, 152)",1
"(122, 135, 154)",3
"(122, 136, 100)",11
"(122, 136, 101)",11
"(122, 136, 110)",3
"(122, 136, 113)",6
"(122, 136, 119)",1
"(122, 136, 121)",2
"(122, 136, 123)",8
"(122, 136, 136)",13
"(122, 136, 137)",5
"(122, 136, 139)",92
"(122, 136, 145)",3
"(122, 136, 147)",8
"(122, 136, 149)",3
"(122, 137, 96)",4
"(122, 137, 98)",13
"(122, 137, 104)",1
"(122, 137, 108)",1
"(122, 137, 114)",1
"(122, 137, 116)",5
"(122, 137, 118)",2
"(122, 137, 130)",3
"(122, 137, 132)",7
"(122, 137, 134)",9
"(122, 137, 140)",1
"(122, 137, 142)",9
"(122, 137, 144)",25
"(122, 137, 156)",2
"(122, 138, 99)",2
"(122, 138, 101)",3
"(122, 138, 102)",1
"(122, 138, 125)",2
"(122, 138, 127)",1
"(122, 138, 128)",6
"(122, 138, 151)",1
"(122, 138, 153)",1
"(122, 138, 154)",1
"(122, 139, 97)",1
"(122, 139, 120)",4
"(122, 139, 121)",1
"(122, 139, 129)",4
"(122, 139, 131)",2
"(122, 139, 133)",4
"(122, 140, 116)",1
"(122, 140, 128)",5
"(122, 141, 119)",1
"(122, 141, 121)",1
"(122, 141, 135)",2
"(122, 142, 130)",1
"(122, 142, 131)",7
"(122, 142, 133)",2
"(122, 144, 132)",1
"(122, 147, 143)",1
"(123, 68, 71)",1
"(123, 71, 73)",1
"(123, 71, 75)",1
"(123, 72, 71)",1
"(123, 73, 76)",1
"(123, 74, 69)",4
"(123, 74, 77)",1
"(123, 74, 80)",1
"(123, 75, 71)",4
"(123, 75, 73)",2
"(123, 75, 75)",1
"(123, 76, 70)",3
"(123, 76, 82)",1
"(123, 77, 77)",3
"(123, 78, 72)",4
"(123, 78, 73)",3
"(123, 78, 75)",3
"(123, 78, 81)",1
"(123, 78, 85)",1
"(123, 79, 70)",3
"(123, 79, 76)",4
"(123, 79, 78)",4
"(123, 79, 80)",4
"(123, 80, 71)",1
"(123, 80, 73)",10
"(123, 80, 74)",6
"(123, 81, 69)",1
"(123, 81, 82)",3
"(123, 81, 83)",2
"(123, 82, 76)",10
"(123, 82, 78)",8
"(123, 82, 80)",9
"(123, 83, 75)",10
"(123, 83, 81)",21
"(123, 83, 83)",5
"(123, 83, 84)",1
"(123, 84, 77)",12
"(123, 84, 79)",16
"(123, 84, 85)",9
"(123, 84, 89)",1
"(123, 85, 74)",2
"(123, 85, 76)",6
"(123, 85, 82)",20
"(123, 85, 84)",10
"(123, 86, 77)",16
"(123, 86, 78)",23
"(123, 86, 80)",23
"(123, 87, 75)",4
"(123, 87, 87)",7
"(123, 88, 82)",65
"(123, 88, 84)",98
"(123, 88, 86)",39
"(123, 88, 92)",1
"(123, 89, 77)",2
"(123, 89, 79)",36
"(123, 89, 80)",50
"(123, 89, 87)",85
"(123, 89, 88)",12
"(123, 89, 90)",1
"(123, 90, 71)",1
"(123, 90, 73)",2
"(123, 90, 75)",1
"(123, 90, 81)",85
"(123, 90, 83)",107
"(123, 90, 85)",134
"(123, 91, 68)",1
"(123, 91, 76)",3
"(123, 91, 78)",8
"(123, 91, 80)",32
"(123, 91, 92)",15
"(123, 91, 94)",5
"(123, 91, 96)",2
"(123, 92, 71)",17
"(123, 92, 72)",7
"(123, 92, 74)",5
"(123, 92, 87)",169
"(123, 92, 89)",126
"(123, 92, 90)",44
"(123, 92, 97)",6
"(123, 92, 98)",3
"(123, 92, 100)",1
"(123, 92, 108)",2
"(123, 92, 123)",2
"(123, 93, 67)",1
"(123, 93, 69)",12
"(123, 93, 82)",55
"(123, 93, 83)",166
"(123, 93, 85)",253
"(123, 93, 91)",81
"(123, 93, 93)",20
"(123, 93, 95)",14
"(123, 93, 101)",1
"(123, 93, 103)",7
"(123, 93, 117)",1
"(123, 93, 121)",1
"(123, 94, 76)",26
"(123, 94, 78)",6
"(123, 94, 80)",11
"(123, 94, 86)",597
"(123, 94, 88)",494
"(123, 94, 90)",220
"(123, 94, 96)",28
"(123, 94, 98)",4
"(123, 94, 99)",2
"(123, 94, 112)",1
"(123, 94, 114)",2
"(123, 95, 71)",34
"(123, 95, 73)",52
"(123, 95, 74)",63
"(123, 95, 81)",37
"(123, 95, 83)",138
"(123, 95, 84)",362
"(123, 95, 91)",435
"(123, 95, 92)",133
"(123, 95, 94)",57
"(123, 95, 107)",3
"(123, 95, 109)",1
"(123, 95, 110)",1
"(123, 95, 117)",1
"(123, 95, 118)",4
"(123, 95, 120)",4
"(123, 96, 66)",1
"(123, 96, 67)",7
"(123, 96, 69)",11
"(123, 96, 75)",736
"(123, 96, 77)",953
"(123, 96, 79)",73
"(123, 96, 85)",1097
"(123, 96, 87)",1115
"(123, 96, 89)",1177
"(123, 96, 101)",4
"(123, 96, 105)",2
"(123, 96, 111)",1
"(123, 96, 113)",4
"(123, 97, 70)",10
"(123, 97, 72)",40
"(123, 97, 74)",189
"(123, 97, 80)",1702
"(123, 97, 82)",418
"(123, 97, 84)",1375
"(123, 97, 96)",85
"(123, 97, 98)",20
"(123, 97, 100)",4
"(123, 97, 106)",1
"(123, 97, 108)",3
"(123, 97, 110)",2
"(123, 97, 122)",5
"(123, 97, 124)",6
"(123, 98, 67)",1
"(123, 98, 68)",5
"(123, 98, 76)",8788
"(123, 98, 78)",15062
"(123, 98, 91)",1333
"(123, 98, 93)",721
"(123, 98, 94)",260
"(123, 98, 101)",9
"(123, 98, 102)",3
"(123, 98, 104)",3
"(123, 98, 117)",3
"(123, 98, 119)",3
"(123, 98, 120)",8
"(123, 98, 127)",8
"(123, 98, 128)",2
"(123, 98, 137)",1
"(123, 99, 71)",19
"(123, 99, 73)",109
"(123, 99, 75)",1305
"(123, 99, 87)",3378
"(123, 99, 89)",1964
"(123, 99, 95)",506
"(123, 99, 97)",374
"(123, 99, 99)",89
"(123, 99, 112)",7
"(123, 99, 113)",8
"(123, 99, 115)",7
"(123, 99, 121)",14
"(123, 99, 123)",5
"(123, 99, 125)",3
"(123, 99, 131)",1
"(123, 99, 133)",2
"(123, 100, 69)",10
"(123, 100, 82)",9170
"(123, 100, 84)",4972
"(123, 100, 86)",1604
"(123, 100, 92)",2322
"(123, 100, 94)",1653
"(123, 100, 106)",10
"(123, 100, 108)",10
"(123, 100, 110)",10
"(123, 100, 116)",27
"(123, 100, 118)",20
"(123, 100, 120)",10
"(123, 100, 126)",27
"(123, 100, 128)",8
"(123, 100, 129)",14
"(123, 101, 60)",1
"(123, 101, 77)",1473
"(123, 101, 78)",11239
"(123, 101, 80)",7227
"(123, 101, 87)",10334
"(123, 101, 88)",8716
"(123, 101, 90)",5122
"(123, 101, 103)",28
"(123, 101, 104)",28
"(123, 101, 113)",17
"(123, 101, 114)",15
"(123, 101, 122)",51
"(123, 101, 124)",28
"(123, 102, 71)",4
"(123, 102, 73)",14
"(123, 102, 75)",82
"(123, 102, 81)",10019
"(123, 102, 83)",21692
"(123, 102, 85)",19349
"(123, 102, 97)",1820
"(123, 102, 99)",1854
"(123, 102, 101)",331
"(123, 102, 107)",15
"(123, 102, 109)",8
"(123, 102, 111)",11
"(123, 102, 117)",57
"(123, 102, 119)",60
"(123, 102, 121)",57
"(123, 102, 133)",6
"(123, 102, 135)",1
"(123, 103, 66)",2
"(123, 103, 70)",1
"(123, 103, 76)",100
"(123, 103, 78)",884
"(123, 103, 79)",4043
"(123, 103, 92)",9225
"(123, 103, 94)",5787
"(123, 103, 96)",5037
"(123, 103, 102)",282
"(123, 103, 104)",73
"(123, 103, 105)",32
"(123, 103, 112)",50
"(123, 103, 114)",30
"(123, 103, 115)",31
"(123, 103, 128)",90
"(123, 103, 130)",40
"(123, 103, 131)",25
"(123, 104, 64)",1
"(123, 104, 71)",1
"(123, 104, 72)",8
"(123, 104, 74)",23
"(123, 104, 87)",17020
"(123, 104, 89)",28688
"(123, 104, 90)",20353
"(123, 104, 97)",4438
"(123, 104, 98)",3382
"(123, 104, 100)",1511
"(123, 104, 106)",147
"(123, 104, 108)",44
"(123, 104, 110)",36
"(123, 104, 123)",195
"(123, 104, 124)",152
"(123, 104, 126)",137
"(123, 104, 132)",19
"(123, 104, 134)",2
"(123, 104, 136)",1
"(123, 105, 65)",3
"(123, 105, 67)",12
"(123, 105, 81)",1375
"(123, 105, 83)",4523
"(123, 105, 85)",13855
"(123, 105, 91)",7531
"(123, 105, 93)",13519
"(123, 105, 95)",7460
"(123, 105, 101)",5182
"(123, 105, 103)",1337
"(123, 105, 105)",466
"(123, 105, 117)",92
"(123, 105, 119)",120
"(123, 105, 121)",186
"(123, 105, 127)",99
"(123, 105, 129)",91
"(123, 105, 131)",31
"(123, 106, 76)",29
"(123, 106, 78)",163
"(123, 106, 80)",564
"(123, 106, 86)",1560
"(123, 106, 88)",6495
"(123, 106, 90)",4695
"(123, 106, 96)",47552
"(123, 106, 98)",56106
"(123, 106, 99)",13432
"(123, 106, 112)",103
"(123, 106, 114)",115
"(123, 106, 116)",123
"(123, 106, 122)",102
"(123, 106, 124)",118
"(123, 106, 125)",113
"(123, 106, 142)",1
"(123, 107, 71)",1
"(123, 107, 73)",4
"(123, 107, 74)",9
"(123, 107, 81)",255
"(123, 107, 82)",522
"(123, 107, 84)",687
"(123, 107, 91)",10395
"(123, 107, 92)",20701
"(123, 107, 94)",36007
"(123, 107, 107)",2400
"(123, 107, 108)",328
"(123, 107, 110)",117
"(123, 107, 117)",134
"(123, 107, 118)",124
"(123, 107, 120)",110
"(123, 107, 133)",11
"(123, 107, 134)",1
"(123, 107, 136)",2
"(123, 108, 65)",1
"(123, 108, 67)",8
"(123, 108, 69)",1
"(123, 108, 75)",10
"(123, 108, 77)",28
"(123, 108, 79)",90
"(123, 108, 85)",1210
"(123, 108, 87)",3519
"(123, 108, 89)",5693
"(123, 108, 101)",18063
"(123, 108, 103)",7964
"(123, 108, 105)",3644
"(123, 108, 111)",311
"(123, 108, 113)",168
"(123, 108, 115)",118
"(123, 108, 127)",28
"(123, 108, 129)",36
"(123, 108, 131)",21
"(123, 109, 64)",2
"(123, 109, 70)",2
"(123, 109, 72)",5
"(123, 109, 74)",1
"(123, 109, 80)",116
"(123, 109, 82)",285
"(123, 109, 83)",522
"(123, 109, 96)",140404
"(123, 109, 98)",135099
"(123, 109, 100)",56693
"(123, 109, 106)",8829
"(123, 109, 108)",3807
"(123, 109, 109)",1217
"(123, 109, 122)",103
"(123, 109, 124)",69
"(123, 109, 126)",33
"(123, 109, 132)",9
"(123, 109, 134)",4
"(123, 109, 135)",3
"(123, 110, 65)",2
"(123, 110, 66)",2
"(123, 110, 68)",1
"(123, 110, 75)",14
"(123, 110, 76)",18
"(123, 110, 78)",41
"(123, 110, 91)",37174
"(123, 110, 93)",28516
"(123, 110, 94)",60943
"(123, 110, 101)",362834
"(123, 110, 102)",86882
"(123, 110, 104)",24073
"(123, 110, 117)",419
"(123, 110, 119)",258
"(123, 110, 120)",1368
"(123, 110, 127)",25
"(123, 110, 128)",14
"(123, 110, 130)",9
"(123, 110, 136)",1
"(123, 110, 138)",1
"(123, 111, 61)",1
"(123, 111, 63)",1
"(123, 111, 69)",3
"(123, 111, 71)",6
"(123, 111, 73)",5
"(123, 111, 85)",1148
"(123, 111, 87)",5345
"(123, 111, 89)",34163
"(123, 111, 95)",123994
"(123, 111, 97)",393038
"(123, 111, 99)",647096
"(123, 111, 111)",3979
"(123, 111, 113)",961
"(123, 111, 115)",425
"(123, 111, 121)",322
"(123, 111, 123)",439
"(123, 111, 125)",66
"(123, 111, 131)",9
"(123, 111, 133)",5
"(123, 111, 135)",2
"(123, 112, 66)",8
"(123, 112, 67)",7
"(123, 112, 80)",83
"(123, 112, 82)",310
"(123, 112, 84)",569
"(123, 112, 90)",254611
"(123, 112, 92)",316403
"(123, 112, 94)",92630
"(123, 112, 106)",137730
"(123, 112, 108)",55148
"(123, 112, 110)",18960
"(123, 112, 116)",1621
"(123, 112, 118)",720
"(123, 112, 120)",382
"(123, 112, 126)",211
"(123, 112, 128)",32
"(123, 112, 129)",19
"(123, 113, 60)",3
"(123, 113, 62)",1
"(123, 113, 64)",4
"(123, 113, 77)",16
"(123, 113, 78)",29
"(123, 113, 86)",7340
"(123, 113, 88)",33403
"(123, 113, 101)",1596341
"(123, 113, 103)",1210237
"(123, 113, 104)",500578
"(123, 113, 111)",154685
"(123, 113, 112)",44848
"(123, 113, 114)",6105
"(123, 113, 121)",1026
"(123, 113, 122)",1668
"(123, 113, 124)",5904
"(123, 113, 137)",1
"(123, 113, 140)",1
"(123, 114, 57)",1
"(123, 114, 59)",2
"(123, 114, 71)",10
"(123, 114, 73)",12
"(123, 114, 75)",14
"(123, 114, 81)",671
"(123, 114, 83)",2663
"(123, 114, 85)",2998
"(123, 114, 97)",105074
"(123, 114, 99)",344887
"(123, 114, 105)",1004558
"(123, 114, 107)",535869
"(123, 114, 109)",363751
"(123, 114, 115)",48524
"(123, 114, 117)",11599
"(123, 114, 119)",17390
"(123, 114, 131)",18
"(123, 114, 133)",8
"(123, 114, 135)",5
"(123, 114, 143)",1
"(123, 115, 66)",1
"(123, 115, 68)",10
"(123, 115, 69)",11
"(123, 115, 76)",51
"(123, 115, 78)",197
"(123, 115, 79)",218
"(123, 115, 92)",476163
"(123, 115, 94)",844991
"(123, 115, 96)",435757
"(123, 115, 102)",344290
"(123, 115, 104)",1018626
"(123, 115, 112)",554314
"(123, 115, 113)",651835
"(123, 115, 126)",236
"(123, 115, 128)",884
"(123, 115, 130)",54
"(123, 115, 136)",4
"(123, 115, 138)",3
"(123, 115, 139)",3
"(123, 116, 61)",2
"(123, 116, 62)",2
"(123, 116, 64)",1
"(123, 116, 70)",15
"(123, 116, 72)",8
"(123, 116, 74)",14
"(123, 116, 87)",7849
"(123, 116, 88)",22567
"(123, 116, 90)",120009
"(123, 116, 97)",106012
"(123, 116, 98)",198085
"(123, 116, 100)",501135
"(123, 116, 106)",877923
"(123, 116, 108)",1471099
"(123, 116, 110)",1048641
"(123, 116, 123)",1853
"(123, 116, 124)",479
"(123, 116, 132)",31
"(123, 116, 134)",27
"(123, 117, 65)",3
"(123, 117, 67)",8
"(123, 117, 69)",8
"(123, 117, 81)",818
"(123, 117, 83)",2112
"(123, 117, 85)",7801
"(123, 117, 91)",50854
"(123, 117, 93)",238241
"(123, 117, 95)",541809
"(123, 117, 101)",1041386
"(123, 117, 103)",1474015
"(123, 117, 105)",916209
"(123, 117, 117)",194090
"(123, 117, 119)",30626
"(123, 117, 121)",2746
"(123, 117, 127)",645
"(123, 117, 129)",306
"(123, 117, 131)",77
"(123, 117, 143)",1
"(123, 117, 145)",1
"(123, 118, 60)",1
"(123, 118, 62)",2
"(123, 118, 63)",3
"(123, 118, 76)",29
"(123, 118, 78)",145
"(123, 118, 80)",486
"(123, 118, 86)",8282
"(123, 118, 88)",21188
"(123, 118, 89)",39041
"(123, 118, 96)",403942
"(123, 118, 98)",474791
"(123, 118, 99)",412229
"(123, 118, 112)",1108998
"(123, 118, 114)",1335617
"(123, 118, 115)",213094
"(123, 118, 122)",25951
"(123, 118, 124)",2664
"(123, 118, 125)",1110
