Farbe,Anzahl
"(10, 13, 6)",22
"(10, 14, 0)",1
"(10, 14, 13)",26
"(10, 14, 15)",1
"(10, 15, 0)",3
"(10, 15, 8)",1
"(10, 15, 9)",25
"(10, 15, 11)",13
"(10, 16, 16)",1
"(10, 17, 10)",3
"(11, 0, 0)",16
"(11, 1, 0)",26
"(11, 1, 2)",2
"(11, 2, 0)",39
"(11, 2, 3)",30
"(11, 2, 5)",5
"(11, 3, 0)",158
"(11, 3, 1)",85
"(11, 4, 0)",237
"(11, 4, 11)",6
"(11, 4, 12)",1
"(11, 5, 0)",4
"(11, 5, 5)",23
"(11, 5, 7)",7
"(11, 5, 9)",3
"(11, 5, 15)",1
"(11, 6, 0)",39
"(11, 6, 2)",62
"(11, 6, 3)",29
"(11, 6, 10)",25
"(11, 6, 12)",6
"(11, 6, 13)",2
"(11, 7, 0)",20
"(11, 7, 4)",34
"(11, 7, 6)",29
"(11, 7, 8)",33
"(11, 7, 21)",2
"(11, 8, 0)",8
"(11, 8, 1)",25
"(11, 8, 3)",53
"(11, 8, 15)",8
"(11, 8, 17)",3
"(11, 8, 19)",1
"(11, 9, 0)",6
"(11, 9, 10)",403
"(11, 9, 12)",107
"(11, 9, 14)",13
"(11, 9, 20)",3
"(11, 9, 22)",6
"(11, 10, 5)",56
"(11, 10, 6)",74
"(11, 10, 8)",84
"(11, 10, 15)",24
"(11, 10, 16)",1
"(11, 10, 18)",3
"(11, 11, 0)",1
"(11, 11, 1)",12
"(11, 11, 3)",23
"(11, 11, 9)",507
"(11, 11, 11)",644
"(11, 11, 13)",239
"(11, 11, 21)",2
"(11, 12, 0)",1
"(11, 12, 4)",21
"(11, 12, 6)",54
"(11, 12, 7)",49
"(11, 12, 14)",21
"(11, 12, 16)",3
"(11, 12, 17)",1
"(11, 13, 0)",5
"(11, 13, 2)",10
"(11, 13, 8)",40
"(11, 13, 10)",77
"(11, 13, 12)",192
"(11, 14, 0)",9
"(11, 14, 3)",3
"(11, 14, 5)",4
"(11, 14, 7)",25
"(11, 15, 0)",2
"(11, 15, 14)",19
"(11, 15, 18)",2
"(11, 16, 0)",4
"(11, 16, 9)",1
"(11, 16, 10)",13
"(11, 16, 12)",22
"(11, 17, 17)",2
"(11, 18, 10)",1
"(11, 18, 11)",1
"(11, 18, 24)",1
"(11, 20, 19)",1
"(12, 0, 0)",1
"(12, 1, 0)",6
"(12, 1, 5)",1
"(12, 2, 0)",18
"(12, 2, 1)",6
"(12, 3, 0)",41
"(12, 3, 4)",23
"(12, 3, 6)",4
"(12, 4, 1)",133
"(12, 4, 2)",56
"(12, 4, 17)",2
"(12, 5, 0)",234
"(12, 5, 12)",3
"(12, 6, 0)",1
"(12, 6, 6)",21
"(12, 6, 8)",8
"(12, 6, 10)",1
"(12, 7, 1)",47
"(12, 7, 3)",51
"(12, 7, 4)",27
"(12, 7, 11)",12
"(12, 7, 13)",3
"(12, 7, 14)",1
"(12, 8, 0)",14
"(12, 8, 5)",33
